AFFGEOID,DNAME11
1500000US510131014033, 31
1500000US510131018021, 31
1500000US510131016021, 31
1500000US515400004011, 70
1500000US515400007003, 70
1500000US511838702021, 58
1500000US511838702012, 58
1500000US517500101021, 5
1500000US516500103042, 36
1500000US515102001051, 99
1500000US515102004055, 93
1500000US515102004041, 93
1500000US511076110191, 54
1500000US511076118021, 51
1500000US511076116012, 52
1500000US511076110121, 54
1500000US511076110233, 51
1500000US511076110222, 51
1500000US511076110161, 54
1500000US511076110062, 54
1500000US511076110101, 54
1500000US517000322243, 44
1500000US517000320062, 44
1500000US510050701002, 16
1500000US510050701004, 16
1500000US511076110141, 54
1500000US511076107021, 53
1500000US511076110171, 54
1500000US515102003012, 93
1500000US515102004054, 93
1500000US516600002071, 22
1500000US517000321262, 48
1500000US517000322233, 44
1500000US510150711012, 11
1500000US511650102001, 29
1500000US510131020032, 31
1500000US510131038001, 100
1500000US510131027021, 100
1500000US510131035012, 100
1500000US516600001022, 22
1500000US517000311002, 42
1500000US515500208073, 40
1500000US515500208062, 37
1500000US510690511012, 91
1500000US510690511011, 91
1500000US510690508022, 12
1500000US510853210021, 61
1500000US510853214021, 61
1500000US510853210011, 61
1500000US511076111012, 56
1500000US511076106014, 53
1500000US511076112041, 56
1500000US510731003022, 46
1500000US516500108002, 27
1500000US516500112001, 27
1500000US516839102021, 81
1500000US516839103013, 81
1500000US516839103021, 81
1500000US511770203041, 72
1500000US511539014162, 82
1500000US511539015061, 55
1500000US511539014083, 82
1500000US511539005013, 96
1500000US511539012283, 78
1500000US511790101052, 80
1500000US511790102111, 80
1500000US511790104062, 90
1500000US511790102053, 79
1500000US511790102122, 79
1500000US517402109001, 32
1500000US517402105001, 32
1500000US510594914013, 84
1500000US518100454212, 39
1500000US518100452003, 9
1500000US518100460141, 39
1500000US518100462203, 37
1500000US518100462233, 37
1500000US517308104001, 59
1500000US518100408023, 43
1500000US510594917022, 86
1500000US510594307001, 95
1500000US510594922022, 92
1500000US510594506011, 64
1500000US510594802031, 63
1500000US518100456032, 38
1500000US518100456041, 38
1500000US518100440034, 9
1500000US518100448074, 23
1500000US518100454252, 9
1500000US518100462134, 37
1500000US510594523012, 95
1500000US510594914012, 84
1500000US510594918012, 86
1500000US510594811041, 52
1500000US510731003023, 46
1500000US510594154011, 89
1500000US510594152003, 89
1500000US510594214004, 89
1500000US510594516014, 99
1500000US510594205031, 98
1500000US510330302011, 65
1500000US518100454272, 9
1500000US517402126001, 33
1500000US517402129003, 33
1500000US517308113003, 59
1500000US517308105001, 58
1500000US510594911021, 84
1500000US510670208002, 15
1500000US511770203072, 72
1500000US511770204081, 72
1500000US511770201133, 72
1500000US511770202012, 90
1500000US511990503031, 36
1500000US511990503051, 36
1500000US511210210001, 21
1500000US511277002003, 61
1500000US511179302001, 26
1500000US511970503014, 4
1500000US516300003021, 90
1500000US510872001273, 68
1500000US511539012212, 96
1500000US511539014072, 82
1500000US510010901004, 47
1500000US511990502044, 36
1500000US510030105001, 49
1500000US510030113032, 70
1500000US510030103004, 49
1500000US510030109031, 70
1500000US511539012122, 78
1500000US511539012243, 96
1500000US511539012292, 78
1500000US510839308003, 8
1500000US510839306003, 8
1500000US515900009002, 25
1500000US515900007003, 25
1500000US511539015051, 55
1500000US511539012331, 78
1500000US511539012371, 96
1500000US511539010112, 96
1500000US510853212011, 61
1500000US510872003053, 74
1500000US510872011014, 60
1500000US510872015014, 60
1500000US510872001164, 68
1500000US510872001263, 74
1500000US510872001301, 68
1500000US510872004141, 74
1500000US510872012012, 61
1500000US510872017012, 61
1500000US510950801021, 46
1500000US516300001002, 90
1500000US511539002022, 94
1500000US511539007021, 94
1500000US511539012233, 96
1500000US515800601003, 16
1500000US518200034002, 11
1500000US518200032003, 11
1500000US511539010011, 80
1500000US511539012091, 96
1500000US511539016021, 82
1500000US511539014031, 82
1500000US511539012273, 78
1500000US511539012095, 94
1500000US510190501002, 18
1500000US511076113002, 56
