11 5301
-77.4608672815 37.6007120133 dark-orange
-77.3148326894 38.838815989 goldenrod
-76.7365197262 37.240816953 web-blue
-77.327596344 38.6890881053 purple
-76.050584696 36.8487046902 dark-yellow
-77.2725562685 38.781366988 goldenrod
-77.5157076988 37.5852548612 dark-orange
-77.336807387 38.9713190895 goldenrod
-79.389284323 36.6067809491 dark-magenta
-76.9680057436 38.2446587398 purple
-77.317821968 38.5580999405 purple
-77.4649108964 37.5522324466 dark-orange
-77.4945429083 37.6207239176 dark-orange
-77.1201536339 38.8453174823 dark-cyan
-77.42265351 37.6242452361 dark-orange
-77.3000483395 38.8649978192 goldenrod
-77.0692800466 38.8349060343 dark-cyan
-77.4720873098 37.7764751622 purple
-77.4994413867 38.7828347128 royalblue
-80.4172343129 37.2508495531 dark-spring-green
-76.4199811187 37.0121101872 web-green
-77.5423940755 37.4354355768 dark-orange
-76.363096805 37.0130520031 web-green
-76.1922027817 36.7725992173 dark-yellow
-76.2882548534 36.957063857 web-green
-76.9810889951 38.2682565742 purple
-82.2177767553 36.6014205371 dark-spring-green
-77.4192968201 37.1952819101 web-blue
-76.2607220415 36.8106899445 dark-yellow
-77.1059611691 38.8343536885 dark-cyan
-79.142320909 37.3882310502 dark-magenta
-79.1164527211 37.4101474406 dark-magenta
-77.4055459542 37.2120031526 web-blue
-76.0495657707 36.8717340906 dark-yellow
-77.3795413399 37.510647252 web-blue
-77.4544250847 38.864665466 royalblue
-77.1292149046 38.7918450384 dark-cyan
-78.5004466056 38.067305953 red
-76.3161845601 36.7779049334 web-green
-76.2981030652 36.8827857624 web-green
-77.4002031914 37.5112780535 web-blue
-77.5810695995 37.6035004359 dark-orange
-76.1334532273 36.9049889205 dark-yellow
-77.2426040766 38.7816067341 goldenrod
-77.6188279131 38.8101124966 royalblue
-80.3968602644 37.211934736 dark-spring-green
-79.8896563851 36.6833709363 dark-magenta
-77.0761475038 38.8626565271 dark-cyan
-77.0440232647 38.7953806943 dark-cyan
-77.5133200582 37.5713423307 dark-orange
-77.5208182225 37.599805397 dark-orange
-76.1502170153 36.775376654 dark-yellow
-77.4050743723 37.5408188453 web-blue
-75.9926455057 36.9006369969 dark-yellow
-77.5563183313 37.5979244021 dark-orange
-77.0540189833 38.8586412855 dark-cyan
-77.0615871224 38.7922294678 dark-cyan
-77.4022243842 38.8784727974 goldenrod
-79.9968514049 37.2903818324 dark-spring-green
-77.0627157677 38.8305925833 dark-cyan
-78.1742680157 39.180373495 royalblue
-77.0650861784 38.8602192321 dark-cyan
-77.3901231074 38.8734044352 goldenrod
-76.3494948283 36.8481402269 web-green
-77.1667784863 38.9086513377 dark-cyan
-76.563532892 36.7263969361 web-green
-76.3731565276 37.0092757577 web-green
-76.3474245673 37.0156849271 web-green
-76.3528486588 37.0090933168 web-green
